,battery_pack_status_identifier,asset_serial_number,battery_pack_identifier,record_create_date,record_create_timestamp,state_of_charge,energy_consumption,battery_lifetime,max_cell_temperature,min_cell_temperature
94,95.0,ASN00003,BAT00003,01-05-2023,01-05-2023 16:22,86.2,2872300.0,1892.538,17.531,16.563
96,97.0,ASN00003,BAT00003,01-05-2023,01-05-2023 16:32,83.4,2873300.0,1892.71,18.188,16.906
98,99.0,ASN00003,BAT00003,01-05-2023,01-05-2023 16:42,80.9,2874200.0,1892.876,18.844,17.25
100,101.0,ASN00003,BAT00003,01-05-2023,01-05-2023 16:53,77.9,2875300.0,1893.049,19.469,17.719
102,103.0,ASN00003,BAT00003,01-05-2023,01-05-2023 17:03,75.1,2876200.0,1893.221,20.031,18.219
104,105.0,ASN00003,BAT00003,01-05-2023,01-05-2023 17:13,72.8,2877000.0,1893.393,20.563,18.688
107,108.0,ASN00003,BAT00003,01-05-2023,01-05-2023 17:24,69.9,2878000.0,1893.566,21.063,19.125
108,109.0,ASN00003,BAT00003,01-05-2023,01-05-2023 17:34,67.3,2878800.0,1893.732,21.438,19.563
109,110.0,ASN00003,BAT00003,01-05-2023,01-05-2023 17:44,62.1,2879600.0,1893.897,21.875,20.0
110,111.0,ASN00003,BAT00003,01-05-2023,01-05-2023 17:54,58.8,2880600.0,1894.063,22.25,20.438
111,112.0,ASN00003,BAT00003,01-05-2023,01-05-2023 18:04,56.2,2881400.0,1894.236,22.719,20.875
112,113.0,ASN00003,BAT00003,01-05-2023,01-05-2023 18:15,52.3,2882600.0,1894.408,22.969,21.219
113,114.0,ASN00003,BAT00003,01-05-2023,01-05-2023 18:25,49.3,2883500.0,1894.58,23.094,21.438
114,115.0,ASN00003,BAT00003,01-05-2023,01-05-2023 18:35,46.3,2884400.0,1894.753,23.188,21.625
115,116.0,ASN00003,BAT00003,01-05-2023,01-05-2023 18:46,43.4,2885300.0,1894.925,23.281,21.75
116,117.0,ASN00003,BAT00003,01-05-2023,01-05-2023 18:56,40.5,2886200.0,1895.097,23.438,21.875
117,118.0,ASN00003,BAT00003,01-05-2023,01-05-2023 19:06,37.1,2887400.0,1895.264,23.594,22.0
118,119.0,ASN00003,BAT00003,01-05-2023,01-05-2023 19:16,33.4,2888700.0,1895.436,23.781,22.219
120,121.0,ASN00003,BAT00003,01-05-2023,01-05-2023 19:27,29.9,2889900.0,1895.608,24.063,22.5
121,122.0,ASN00003,BAT00003,01-05-2023,01-05-2023 19:37,26.3,2891100.0,1895.781,24.531,22.938
122,123.0,ASN00003,BAT00003,01-05-2023,01-05-2023 19:47,23.4,2892000.0,1895.953,24.969,23.469
123,124.0,ASN00003,BAT00003,01-05-2023,01-05-2023 19:57,19.9,2893100.0,1896.119,25.563,24.063
124,125.0,ASN00003,BAT00003,01-05-2023,01-05-2023 20:07,19.9,2893100.0,1896.212,25.813,24.219
125,126.0,ASN00003,BAT00003,01-05-2023,01-05-2023 20:18,16.2,2893600.0,1896.384,26.0,24.5
126,127.0,ASN00003,BAT00003,01-05-2023,01-05-2023 20:28,18.0,2894000.0,1896.551,26.156,24.688
127,128.0,ASN00003,BAT00003,01-05-2023,01-05-2023 20:38,20.0,2894500.0,1896.723,26.563,24.938
128,129.0,ASN00003,BAT00003,01-05-2023,01-05-2023 20:48,21.9,2895000.0,1896.895,27.063,25.125
129,130.0,ASN00003,BAT00003,01-05-2023,01-05-2023 20:58,23.6,2895500.0,1897.062,27.5,25.219
130,131.0,ASN00003,BAT00003,01-05-2023,01-05-2023 21:09,25.2,2895900.0,1897.234,27.906,25.313
131,132.0,ASN00003,BAT00003,01-05-2023,01-05-2023 21:19,26.8,2896400.0,1897.406,28.313,25.531
